citekey,system_class,year,journal,publisher,type,citations,doi,error
yavor2013,pure_al_alkali,2013,International Journal of Hydrogen Energy,Elsevier BV,journal-article,134,10.1016/j.ijhydene.2013.09.070,
zhang2024,pure_al_alkali,2024,Frontiers in Energy Research,Frontiers Media SA,journal-article,13,10.3389/fenrg.2024.1441155,
trowell2022,pure_al_alkali,2022,RSC Advances,Royal Society of Chemistry (RSC),journal-article,38,10.1039/d2ra01231f,
deng2010,pure_al_alkali,2010,Journal of the American Ceramic Society,Wiley,journal-article,32,10.1111/j.1551-2916.2010.03969.x,
razavi2016,pure_al_alkali,2016,International Journal of Hydrogen Energy,Elsevier BV,journal-article,44,10.1016/j.ijhydene.2015.11.080,
prabu2021,pure_al_alkali,2021,International Journal of Energy Research,Wiley,journal-article,24,10.1002/er.6478,
wangxy2021,pure_al_alkali,2021,International Journal of Hydrogen Energy,Elsevier BV,journal-article,64,10.1016/j.ijhydene.2021.07.191,
tekade2018n,pure_al_alkali,2018,International Journal of Chemical Reactor Engineering,Walter de Gruyter GmbH,journal-article,7,10.1515/ijcre-2017-0250,
rin2021,pure_al_alkali,2021,International Journal of Hydrogen Energy,Elsevier BV,journal-article,25,10.1016/j.ijhydene.2021.06.101,
porciuncula2012,pure_al_alkali,2012,Brazilian Journal of Chemical Engineering,FapUNIFESP (SciELO),journal-article,88,10.1590/s0104-66322012000200014,
yang2018,pure_al_alkali,2018,International Journal of Energy Research,Hindawi Limited,journal-article,66,10.1002/er.3953,
tekade2018k,pure_al_alkali,2018,International Journal of Chemical Reactor Engineering,Walter de Gruyter GmbH,journal-article,3,10.1515/ijcre-2018-0193,
wanghq2017,pure_al_alkali,2017,Energy,Elsevier BV,journal-article,51,10.1016/j.energy.2017.05.031,
wen2018,pure_al_alkali,2017,International Journal of Energy Research,Wiley,journal-article,26,10.1002/er.3955,
shmelev2016,pure_al_alkali,2016,International Journal of Hydrogen Energy,Elsevier BV,journal-article,76,10.1016/j.ijhydene.2016.05.159,
sykhyi2024,pure_al_alkali,2024,Voprosy Khimii i Khimicheskoi Tekhnologii,SHEI Ukrainian State University of Chemical Technology,journal-article,0,10.32434/0321-4095-2024-157-6-55-60,
dudoladov2016,pure_al_alkali,2016,International Journal of Hydrogen Energy,Elsevier BV,journal-article,66,10.1016/j.ijhydene.2015.11.122,
