citekey,doi,system_class,has_pdf,has_md_text,quality_tier_provisional,source_batch,legit_access_todo,needs_ocr
yavor2013,10.1016/j.ijhydene.2013.09.070,pure_al_alkali,Y,Y,A,1-initial,verify,
zhang2024,10.3389/fenrg.2024.1441155,pure_al_alkali,Y,Y,B,2-scihub,,
trowell2022,10.1039/d2ra01231f,pure_al_alkali,Y,Y,A,2-scihub,,
deng2010,10.1111/j.1551-2916.2010.03969.x,pure_al_alkali,Y,Y,A,1-initial,verify,
razavi2016,10.1016/j.ijhydene.2015.11.080,pure_al_alkali,Y,Y,A,1-initial,verify,
prabu2021,10.1002/er.6478,pure_al_alkali,Y,Y,B,1-initial,verify,
wangxy2021,10.1016/j.ijhydene.2021.07.191,pure_al_alkali,Y,Y,A,1-initial,verify,
tekade2018n,10.1515/ijcre-2017-0250,pure_al_alkali,Y,Y,C,1-initial,verify,
rin2021,10.1016/j.ijhydene.2021.06.101,pure_al_alkali,Y,Y,A,1-initial,verify,
porciuncula2012,10.1590/s0104-66322012000200014,pure_al_alkali,Y,Y,A,2-scihub,,
yang2018,10.1002/er.3953,pure_al_alkali,Y,Y,A,1-initial,verify,
tekade2018k,10.1515/ijcre-2018-0193,pure_al_alkali,Y,Y,C,1-initial,verify,
wanghq2017,10.1016/j.energy.2017.05.031,pure_al_alkali,Y,Y,A,1-initial,verify,
wen2018,10.1002/er.3955,pure_al_alkali,Y,Y,B,1-initial,verify,
shmelev2016,10.1016/j.ijhydene.2016.05.159,pure_al_alkali,Y,Y,A,1-initial,verify,
dudoladov2016,10.1016/j.ijhydene.2015.11.122,liquid_metal_activated,Y,Y,A,1-initial,verify,QC-reclass from pure_al_alkali (Ga-In-Zn eutectic-activated)
noland2020,10.1016/j.ijhydene.2020.06.165,pure_al_alkali,Y,Y,A,1-initial,verify,
tekade2018a,10.1515/ijcre-2017-0202,pure_al_alkali,Y,Y,C,1-initial,verify,
meng2022,10.1016/j.ijhydene.2022.09.127,al_alloy,Y,Y,A,1-initial,verify,
manilevich2020,10.1007/s11003-020-00336-x,al_alloy,Y,Y,B,2-scihub,yes,
liuyh2017,10.1016/j.ijhydene.2017.02.205,al_alloy,Y,Y,A,1-initial,verify,
qiao2019,10.1016/j.ijhydene.2018.12.124,al_alloy,Y,Y,A,1-initial,verify,
gaozeng2021,10.3390/en14051433,al_alloy,Y,Y,B,2-scihub,yes,
zhu2021,10.3390/ma14247889,al_alloy,Y,Y,B,3-mdpi-oa,,
elitzur2014,10.1016/j.ijhydene.2014.02.037,al_alloy,Y,Y,A,1-initial,verify,
jayaraman2015,10.4236/epe.2015.79041,liquid_metal_activated,Y,Y,C,1-initial,verify,
tan2016,10.1016/j.ijhydene.2016.10.090,liquid_metal_activated,Y,Y,A,1-initial,verify,
