citekey,system_class,year,venue,citations,doi,is_oa,oa_url
kombargi2024,liquid_metal_activated,2024,Cell Reports Physical Science,4,10.1016/j.xcrp.2024.102121,True,https://doi.org/10.1016/j.xcrp.2024.102121
lu2017,liquid_metal_activated,2017,RSC Advances,43,10.1039/c7ra01839h,True,https://pubs.rsc.org/en/content/articlepdf/2017/ra/c7ra01839h
ilyukhina2012,liquid_metal_activated,2012,International Journal of Hydrogen Energy,119,10.1016/j.ijhydene.2012.02.175,False,
meroueh2020,liquid_metal_activated,,,0,10.1021/acsaem.0c02175.s001,UPERR,
fischman2020,liquid_metal_activated,2020,International Journal of Hydrogen Energy,30,10.1016/j.ijhydene.2020.04.161,True,https://www.sciencedirect.com/science/article/pii/S0360319920315640
slocum2020,liquid_metal_activated,2020,Applied Energy,27,10.1016/j.apenergy.2020.115712,False,
kravchenko2005,al_alloy,2005,Journal of Alloys and Compounds,241,10.1016/j.jallcom.2004.11.065,False,
parmuzina2009,liquid_metal_activated,2009,Russian Chemical Bulletin,22,10.1007/s11172-009-0045-z,False,
pednekar2019,liquid_metal_activated,2020,SSRN Electronic Journal,0,10.2139/ssrn.3721569,True,https://doi.org/10.2139/ssrn.3721569
changying2017,al_alloy,2017,Rare Metal Materials and Engineering,8,10.1016/s1875-5372(17)30210-2,False,
nizovskii2017,liquid_metal_activated,2017,Catalysis for Sustainable Energy,6,10.1515/cse-2017-0010,True,http://www.degruyter.com/downloadpdf/j/cse.2017.4.issue-1/cse-2017-0010/cse-2017-0010.xml
