study_id,h2_yield_pct,temperature_k,alkali_conc_mol_l,particle_size_d50_um,activator_ratio,al_wt_pct,ga_wt_pct,in_wt_pct,sn_wt_pct,bi_wt_pct,mg_wt_pct,zn_wt_pct,alkali_type,activation_method,water_type,morphology_flag,system_class,source_ref,extractor,extraction_date,extraction_method,measurement_method,temperature_control,vessel_type,rate_definition,value_origin,quality_tier,max_rate_ml_min_g,t80_min
wangyd2024,86.7,848.15,0,6350,,100.0,0,0,0,0,,0,none,none,DI,powder,pure_al_alkali,abstract (550-600 C midpoint),claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
wangyd2024,95.0,873.15,0,2380,,100.0,0,0,0,0,,0,none,none,DI,powder,pure_al_alkali,"abstract (2.38 mm, high-T)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
gao2023jes,31.9,423.15,0,25,,100.0,0,0,0,0,,0,none,none,tap,powder,pure_al_alkali,abstract,claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
dudoladov2016,84.8,263.15,,,,,,,,,,,NaOH,none,alkaline,powder,pure_al_alkali,"abstract (-10 C, NaOH, 264 mL)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,open,avg,derived,C,,
dudoladov2016,83.5,263.15,,,,,,,,,,,KOH,none,alkaline,powder,pure_al_alkali,"abstract (-10 C, KOH, 260 mL)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,open,avg,derived,C,,
dudoladov2016,32.1,253.15,,,,,,,,,,,NaOH,none,alkaline,powder,pure_al_alkali,"abstract (-20 C, NaOH, 100 mL)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,open,avg,derived,C,,
dudoladov2016,72.3,253.15,,,,,,,,,,,KOH,none,alkaline,powder,pure_al_alkali,"abstract (-20 C, KOH, 225 mL)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,open,avg,derived,C,,
dudoladov2016,61.7,243.15,,,,,,,,,,,KOH,none,alkaline,powder,pure_al_alkali,"abstract (-30 C, KOH, 192 mL)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,open,avg,derived,C,,
dudoladov2016,15.7,233.15,,,,,,,,,,,KOH,none,alkaline,powder,pure_al_alkali,"abstract (-40 C, KOH, 49 mL)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,open,avg,derived,C,,
buryakov2024,86.8,333.15,0,,,,0,0,0,0,,0,none,ball_milling,sea,powder,waste_al,"abstract (AlCl3 soln; Al-LiCl, 60 C)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
buryakov2024,84.6,333.15,0,,,,0,0,0,0,,0,none,ball_milling,sea,powder,waste_al,"abstract (AlCl3 soln; Al-LiCl-Ag, 60 C)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
buryakov2024,80.2,333.15,0,,,,,0,0,0,,0,none,ball_milling,sea,powder,waste_al,"abstract (AlCl3 soln; Al-Ga-Ag, 60 C)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
buryakov2024,76.7,333.15,0,,,,,0,0,0,,0,none,ball_milling,sea,powder,waste_al,"abstract (AlCl3 soln; Al-Ga, 60 C)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
buryakov2024,46.7,353.15,0,,,,0,0,0,0,,0,none,ball_milling,sea,powder,waste_al,"abstract (AlCl3 soln; Al-LiCl-Ag, 80 C)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
buryakov2024,31.8,353.15,0,,,,,0,0,0,,0,none,ball_milling,sea,powder,waste_al,"abstract (AlCl3 soln; Al-Ga-Ag, 80 C)",claude_wp1,2026-06-14,table,water_displacement,isothermal_bath,closed,avg,reported,C,,
mezulis2023,92.0,,1.0,,,,,,,,,,NaOH,none,alkaline,flake,waste_al,"abstract (1 M NaOH, 1145 mL/g)",claude_wp1,2026-06-14,table,water_displacement,uncontrolled,closed,avg,reported,C,,
