source_filename,citekey,doi,system_class,action,title
28_fadhilah2023.pdf,fadhilah2023,10.9767/bcrec.20041,waste_al,archived,Kinetic Study of the Aluminum–water Reaction Using NaOH/NaAlO2 Catalyst for Hydrogen Production from Aluminum Cans Waste
13_gaozeng2021.pdf,gaozeng2021,10.3390/en14051433,al_alloy,archived,Hydrolysis-Based Hydrogen Generation Investigation of Aluminum System Adding Low-Melting Metals
29_gupta2025.pdf,gupta2025,10.1007/s40243-024-00287-2,waste_al,archived,Hydrogen generation through metal waste corrosion: a systematic investigation on old/post-consumer scrap Al6063-series alloy
04_li2019.pdf,li2019,10.1051/e3sconf/201911803048,pure_al_alkali,archived,Research on hydrogen generation from rapid hydrolysis of aluminum in sodium fluoride solution
14_manilevich2020.pdf,manilevich2020,10.1007/s11003-020-00336-x,al_alloy,archived,"Studies of the Hydrolysis of Aluminum Activated by Additions of Ga–In–Sn Eutectic Alloy, Bismuth, or Antimony"
34_mezulis2023.pdf,mezulis2023,10.3390/en16145554,waste_al,archived,Studies on Water–Aluminum Scrap Reaction Kinetics in Two Steps and the Efficiency of Green Hydrogen Production
05_porciuncula2012.pdf,porciuncula2012,10.1590/s0104-66322012000200014,pure_al_alkali,archived,Production of hydrogen in the reaction between aluminum and water in the presence of NaOH and KOH
06_sykhyi2024.pdf,sykhyi2024,10.32434/0321-4095-2024-157-6-55-60,pure_al_alkali,archived,Thermochemical effects in hydrogen production with a dissolvable aluminum anode system
08_trowell2022.pdf,trowell2022,10.1039/d2ra01231f,pure_al_alkali,archived,Hydrogen production rates of aluminum reacting with varying densities of supercritical water
35_urbonav2024.pdf,urbonav2024,10.3390/ma17112637,waste_al,archived,Enhanced Hydrogen Generation through Low-Temperature Plasma Treatment of Waste Aluminum for Hydrolysis Reaction
10_zhang2024.pdf,zhang2024,10.3389/fenrg.2024.1441155,pure_al_alkali,archived,Hydrogen production from aluminum-water reactions at low Temperatures: based on an in-situ two powders of different particle sizes
