citekey,doi,in_hand,doi_source,system_class
yavor2013,10.1016/j.ijhydene.2013.09.070,Y,full_text,pure_al_alkali
wangyd2024,10.1016/j.renene.2024.122221,N,crossref,pure_al_alkali
zhang2024,10.3389/fenrg.2024.1441155,Y,full_text,pure_al_alkali
trowell2022,10.1039/d2ra01231f,Y,full_text,pure_al_alkali
deng2010,10.1111/j.1551-2916.2010.03969.x,Y,full_text,pure_al_alkali
razavi2016,10.1016/j.ijhydene.2015.11.080,Y,full_text,pure_al_alkali
prabu2021,10.1002/er.6478,Y,full_text,pure_al_alkali
wangxy2021,10.1016/j.ijhydene.2021.07.191,Y,full_text,pure_al_alkali
tekade2018n,10.1515/ijcre-2017-0250,Y,full_text,pure_al_alkali
rin2021,10.1016/j.ijhydene.2021.06.101,Y,full_text,pure_al_alkali
testa2024,10.1016/j.ijhydene.2024.08.152,N,crossref,pure_al_alkali
kandasamy2023,10.1016/j.ijhydene.2023.04.068,N,crossref,pure_al_alkali
porciuncula2012,10.1590/s0104-66322012000200014,Y,full_text,pure_al_alkali
yang2018,10.1002/er.3953,Y,full_text,pure_al_alkali
tekade2018k,10.1515/ijcre-2018-0193,Y,full_text,pure_al_alkali
gao2023ijhe,10.1016/j.ijhydene.2023.09.216,N,crossref,pure_al_alkali
gao2023jes,10.1016/j.est.2022.106543,N,crossref,pure_al_alkali
wanghq2017,10.1016/j.energy.2017.05.031,Y,full_text,pure_al_alkali
saroukanian2020,,N,,pure_al_alkali
wen2018,10.1002/er.3955,Y,full_text,pure_al_alkali
shmelev2016,10.1016/j.ijhydene.2016.05.159,Y,full_text,pure_al_alkali
sykhyi2024,10.32434/0321-4095-2024-157-6-55-60,Y,full_text,pure_al_alkali
dudoladov2016,10.1016/j.ijhydene.2015.11.122,Y,full_text,pure_al_alkali
noland2020,10.1016/j.ijhydene.2020.06.165,Y,full_text,pure_al_alkali
tekade2018a,10.1515/ijcre-2017-0202,Y,full_text,pure_al_alkali
li2019,10.1051/e3sconf/201911803048,Y,full_text,pure_al_alkali
meng2022,10.1016/j.ijhydene.2022.09.127,Y,full_text,al_alloy
manilevich2020,10.1007/s11003-020-00336-x,Y,full_text,al_alloy
liuyh2017,10.1016/j.ijhydene.2017.02.205,Y,full_text,al_alloy
meng2023,10.1016/j.mtsust.2022.100284,N,crossref,al_alloy
qiao2019,10.1016/j.ijhydene.2018.12.124,Y,full_text,al_alloy
an2022,10.1016/j.energy.2022.123489,N,crossref,al_alloy
manilevich2021b,,N,,al_alloy
gaozeng2021,10.3390/en14051433,Y,full_text,al_alloy
zhu2021,10.3390/ma14247889,Y,full_text,al_alloy
elitzur2014,10.1016/j.ijhydene.2014.02.037,Y,full_text,al_alloy
jayaraman2015,10.4236/epe.2015.79041,Y,full_text,liquid_metal_activated
mohammed2025,10.1016/j.fuel.2025.134479,N,crossref,liquid_metal_activated
tan2016,10.1016/j.ijhydene.2016.10.090,Y,full_text,liquid_metal_activated
godart2019,10.1016/j.ijhydene.2019.03.140,Y,full_text,liquid_metal_activated
razavi2013,10.1016/j.ijhydene.2012.10.106,Y,full_text,mechanically_activated
xiao2020,10.1016/j.jallcom.2019.152800,Y,full_text,mechanically_activated
irankhah2018,10.1016/j.ijhydene.2018.07.014,Y,full_text,mechanically_activated
manilevich2021a,10.1007/s11106-021-00237-x,N,crossref,mechanically_activated
xiao2018,10.1016/j.energy.2018.05.201,Y,full_text,mechanically_activated
preez2018,10.1016/j.ijhydene.2018.09.133,Y,full_text,mechanically_activated
preez2019,10.1016/j.ijhydene.2019.06.154,Y,full_text,mechanically_activated
huang2023,10.1016/j.ijhydene.2023.08.332,N,crossref,mechanically_activated
davies2022eni,10.3390/en15072356,Y,full_text,mechanically_activated
davies2022mat,10.3390/ma15031197,Y,full_text,mechanically_activated
guan2019,10.1016/j.energy.2019.116107,Y,full_text,mechanically_activated
chen2020,10.1016/j.ijhydene.2020.03.027,Y,full_text,mechanically_activated
liuzh2021,10.1016/j.ijhydene.2021.10.113,Y,full_text,mechanically_activated
xuan2023,10.1016/j.jallcom.2023.169611,N,crossref,mechanically_activated
wu2025,10.1016/j.renene.2025.122384,N,crossref,mechanically_activated
martinezv2026,10.3390/hydrogen7020055,Y,full_text,waste_al
buryakov2024,10.20944/preprints202401.0928.v1,N,crossref,waste_al
fadhilah2023,10.9767/bcrec.20041,Y,full_text,waste_al
mezulis2023,10.3390/en16145554,Y,full_text,waste_al
david2012,10.1016/j.jhazmat.2012.01.064,Y,full_text,waste_al
yolcular2020,10.1080/15567036.2020.1822468,Y,full_text,waste_al
buryakov2023met,10.3390/met13020185,Y,full_text,waste_al
urbonav2024,10.3390/ma17112637,Y,full_text,waste_al
ho2016,10.1016/j.ijhydene.2015.11.083,Y,full_text,waste_al
knoks2025,10.3390/app15052640,Y,full_text,waste_al
singh2019,,N,,waste_al
kale2021,10.1016/j.joei.2021.11.005,N,crossref,waste_al
deebika2023,10.1016/j.ijhydene.2023.06.015,N,crossref,waste_al
gupta2025,10.1007/s40243-024-00287-2,Y,full_text,waste_al
maulana2023,10.4028/p-587vv6,N,crossref,waste_al
tekade2020,10.1016/j.ijhydene.2019.09.026,Y,full_text,waste_al
