citekey,system_class,axis,pool_year,authors,title,journal,cr_year,doi,confidence,title_sim,partial,consensus,error,note
an2022,al_alloy,Alloy/Activator,2022,An et al.,Study on the liquid phase-derived activation mechanism in Al-rich alloy hydrolysis reaction for hydrogen production,Energy,2022,10.1016/j.energy.2022.123489,confirmed (bib),0.68,,https://consensus.app/papers/details/591d739278cf57ec976ab5a8910aeebf/,,
buryakov2023met,waste_al,Waste/Activation,2023,Buryakovskaya et al.,"Aluminum Scrap to Hydrogen: Complex Effects of Oxidation Medium, Ball Milling Parameters, and Copper Additive Dispersity",Metals,2023,10.3390/met13020185,high (verified),0.6,,https://consensus.app/papers/details/d8e4c6c0a66c59a6a38e8bd7d02b82ee/,,Metals; Cu additive dispersity
buryakov2024,waste_al,Particle size,2024,Buryakovskaya et al.,Silver-Assisted Hydrogen Evolution from Aluminum Oxidation in Saline Media,Preprints.org (preprint),2024,10.20944/preprints202401.0928.v1,medium (preprint),0.67,,https://consensus.app/papers/details/074c5e384b0553f68f5fb9952fa97716/,,published version may exist
davies2022eni,mechanically_activated,Alloy/Activator,2022,Davies et al.,The Hydrolysis of Ball-Milled Aluminum–Bismuth–Nickel Composites for On-Demand Hydrogen Generation,Energies,2022,10.3390/en15072356,high (verified),0.58,,https://consensus.app/papers/details/066378b524b75357b70637e3ce3f8930/,,Energies; Al-Bi-Ni composites
davies2022mat,mechanically_activated,Alloy/Activator,2022,"Davies, du Preez et al.",On-Demand Hydrogen Generation by the Hydrolysis of Ball-Milled Aluminum-Bismuth-Zinc Composites,Materials,2022,10.3390/ma15031197,high (corrected),0.67,,https://consensus.app/papers/details/3e1c3fb6d35d56ae8446901632cf0a95/,,first pass matched the du Preez review; corrected to the Materials Al-Bi-Zn paper
deebika2023,waste_al,Waste/Activation,2023,Deebika et al.,Utilization of RO rejects and waste aluminum scraps for hydrogen generation,International Journal of Hydrogen Energy,2023,10.1016/j.ijhydene.2023.06.015,confirmed (bib),0.75,,https://consensus.app/papers/details/b334669fd79d50689a14fd7cfaa727e9/,,
fadhilah2023,waste_al,Alkali/Temperature,2023,Fadhilah et al.,Kinetic Study of the Aluminum–water Reaction Using NaOH/NaAlO2 Catalyst for Hydrogen Production from Aluminum Cans Waste,Bulletin of Chemical Reaction Engineering &amp; Catalysis,2023,10.9767/bcrec.20041,medium (verified),0.57,,https://consensus.app/papers/details/eea0fcac7a5550859ed50c3fb95fe531/,,BCREC; Al cans waste
gao2023ijhe,pure_al_alkali,Alkali/Temperature,2023,Gao et al.,Experimental study on catalyst-free high-temperature and high-pressure aluminum-water reaction characteristics using metal as energy carrier,International Journal of Hydrogen Energy,2024,10.1016/j.ijhydene.2023.09.216,LOW-verify,0.51,,https://consensus.app/papers/details/1a5c0f5741b05c228f89d10fc91e051a/,,
gao2023jes,pure_al_alkali,Alkali/Temperature,2023,Gao et al.,Experimental investigation of the catalyst-free reaction characteristics of micron aluminum powder with water at low and medium temperatures,Journal of Energy Storage,2023,10.1016/j.est.2022.106543,LOW-verify,0.46,,https://consensus.app/papers/details/df22241464205371b16c1847b5f906d9/,,
gaozeng2021,al_alloy,Alloy/Activator,2021,Gao et al.,Hydrolysis-Based Hydrogen Generation Investigation of Aluminum System Adding Low-Melting Metals,Energies,2021,10.3390/en14051433,medium,0.61,,https://consensus.app/papers/details/1b4a2860f4d751ba8dd3e51dc73d0016/,,
gupta2025,waste_al,Waste/Activation,2025,Gupta et al.,Hydrogen generation through metal waste corrosion: a systematic investigation on old/post-consumer scrap Al6063-series alloy,Materials for Renewable and Sustainable Energy,2025,10.1007/s40243-024-00287-2,high (verified),0.33,,https://consensus.app/papers/details/290b895f6d945bb68f90cfabae5be512/,,"Gupta, Al6063 post-consumer scrap"
