citekey,doi,source
chen2020,10.1016/j.ijhydene.2020.03.027,full_text_md
david2012,10.1016/j.jhazmat.2012.01.064,full_text_md
deng2010,10.1111/j.1551-2916.2010.03969.x,full_text_md
dudoladov2016,10.1016/j.ijhydene.2015.11.122,full_text_md
elitzur2014,10.1016/j.ijhydene.2014.02.037,full_text_md
godart2019,10.1016/j.ijhydene.2019.03.140,full_text_md
guan2019,10.1016/j.energy.2019.116107,full_text_md
ho2016,10.1016/j.ijhydene.2015.11.083,full_text_md
irankhah2018,10.1016/j.ijhydene.2018.07.014,full_text_md
jayaraman2015,10.4236/epe.2015.79041,full_text_md
liuyh2017,10.1016/j.ijhydene.2017.02.205,full_text_md
liuzh2021,10.1016/j.ijhydene.2021.10.113,full_text_md
meng2022,10.1016/j.ijhydene.2022.09.127,full_text_md
noland2020,10.1016/j.ijhydene.2020.06.165,full_text_md
prabu2021,10.1002/er.6478,full_text_md
preez2018,10.1016/j.ijhydene.2018.09.133,full_text_md
preez2019,10.1016/j.ijhydene.2019.06.154,full_text_md
qiao2019,10.1016/j.ijhydene.2018.12.124,full_text_md
razavi2013,10.1016/j.ijhydene.2012.10.106,full_text_md
razavi2016,10.1016/j.ijhydene.2015.11.080,full_text_md
rin2021,10.1016/j.ijhydene.2021.06.101,full_text_md
shmelev2016,10.1016/j.ijhydene.2016.05.159,full_text_md
tan2016,10.1016/j.ijhydene.2016.10.090,full_text_md
tekade2018a,10.1515/ijcre-2017-0202,full_text_md
tekade2018k,10.1515/ijcre-2018-0193,full_text_md
tekade2018n,10.1515/ijcre-2017-0250,full_text_md
tekade2020,10.1016/j.ijhydene.2019.09.026,full_text_md
wanghq2017,10.1016/j.energy.2017.05.031,full_text_md
wangxy2021,10.1016/j.ijhydene.2021.07.191,full_text_md
wen2018,10.1002/er.3955,full_text_md
xiao2018,10.1016/j.energy.2018.05.201,full_text_md
xiao2020,10.1016/j.jallcom.2019.152800,full_text_md
yang2018,10.1002/er.3953,full_text_md
yavor2013,10.1016/j.ijhydene.2013.09.070,full_text_md
yolcular2020,10.1080/15567036.2020.1822468,full_text_md
